706 4 0
164 204 613 183 
704 254 136 88 
674 392 543 700 
3 91 638 501 
272 431 627 602 
318 382 397 698 
6 155 472 676 
312 580 346 84 
47 693 89 480 
526 412 43 275 
10 7 435 208 
11 547 82 473 
496 202 620 473 
13 366 132 221 
388 452 609 181 
504 676 180 37 
16 23 175 485 
89 429 83 435 
18 88 146 317 
19 5 390 337 
20 535 415 205 
317 655 216 453 
201 558 413 129 
23 487 57 134 
621 154 622 418 
25 98 121 147 
26 178 181 419 
500 212 574 326 
28 239 263 120 
29 190 694 74 
30 294 11 599 
31 345 221 386 
584 344 408 395 
33 379 547 94 
34 38 381 408 
185 235 318 670 
36 669 318 108 
37 321 223 690 
38 392 303 448 
30 448 431 262 
40 515 300 701 
41 488 546 130 
42 441 297 419 
313 625 163 289 
520 694 694 618 
213 682 450 199 
284 344 202 353 
47 683 363 302 
348 680 683 175 
49 267 672 426 
50 418 353 672 
202 3 115 513 
534 207 1 534 
53 688 171 523 
54 210 270 426 
55 573 543 641 
659 646 620 294 
57 21 107 314 
58 594 32 59 
539 306 378 570 
23 602 588 302 
61 102 404 408 
29 271 471 336 
149 133 457 398 
480 575 183 368 
65 212 280 474 
66 391 188 490 
67 640 487 680 
309 76 544 245 
476 535 15 117 
268 505 73 343 
71 4 583 696 
444 281 648 12 
73 326 423 267 
74 139 602 48 
75 37 48 350 
76 235 568 299 
77 449 58 427 
78 193 119 496 
455 279 282 672 
80 72 573 202 
81 177 362 668 
71 83 694 116 
230 140 153 558 
84 33 525 662 
192 170 362 237 
86 622 625 164 
87 54 350 640 
31 192 314 183 
89 150 508 658 
471 12 236 385 
91 99 241 580 
92 616 82 165 
93 454 382 259 
94 603 46 598 
95 20 307 162 
96 11 292 569 
421 297 126 504 
37 74 41 362 
99 621 699 324 
100 679 334 35 
101 277 624 232 
170 154 690 18 
167 409 429 524 
619 178 536 416 
257 217 247 663 
684 167 580 96 
562 4 579 29 
503 134 184 644 
401 62 260 187 
375 440 152 3 
637 36 515 405 
112 75 169 602 
96 349 445 135 
42 626 93 378 
395 163 238 586 
116 213 102 446 
190 206 177 137 
16 254 176 702 
334 171 667 528 
120 516 556 79 
572 246 537 232 
540 431 404 536 
34 74 247 256 
124 578 342 507 
125 99 642 30 
126 447 63 322 
554 51 678 299 
128 274 687 261 
87 591 543 302 
654 373 116 163 
628 398 145 312 
610 266 202 463 
133 27 363 237 
649 622 80 388 
592 367 325 384 
570 551 157 75 
137 29 180 216 
91 351 635 262 
489 660 0 444 
464 673 446 82 
377 509 433 571 
575 572 660 269 
578 353 119 279 
605 249 65 34 
145 273 333 635 
146 277 314 636 
147 248 217 452 
196 455 534 17 
149 268 79 392 
150 18 289 506 
151 436 328 521 
128 619 547 108 
153 407 213 69 
362 286 464 501 
155 609 87 20 
112 576 85 649 
697 419 196 433 
158 673 600 592 
159 20 124 328 
204 208 683 655 
437 13 440 293 
137 138 293 181 
163 107 317 189 
164 395 646 98 
165 275 539 311 
686 162 280 126 
167 619 71 256 
168 400 131 297 
169 495 222 513 
170 458 258 512 
20 649 188 470 
548 152 194 337 
173 131 514 235 
667 363 616 528 
175 232 569 445 
176 586 0 345 
358 594 84 10 
363 90 435 468 
660 85 4 199 
320 247 305 196 
181 150 264 317 
182 568 692 656 
602 91 631 114 
279 25 223 304 
185 342 516 43 
186 664 256 491 
296 631 357 223 
188 133 44 332 
189 689 237 213 
190 535 619 434 
468 167 618 355 
192 180 530 546 
193 21 16 620 
194 352 156 131 
195 46 69 546 
196 689 571 299 
197 177 566 336 
214 102 562 302 
199 683 351 433 
224 650 161 41 
201 643 94 486 
202 439 557 557 
475 381 606 656 
204 265 107 208 
484 137 64 268 
206 100 4 376 
207 320 607 242 
460 127 618 680 
209 282 417 132 
580 682 132 294 
445 27 561 520 
61 268 145 252 
213 536 565 131 
214 310 444 393 
417 353 30 503 
216 489 666 67 
6 308 247 519 
372 129 464 71 
618 574 132 658 
648 548 41 66 
467 221 15 461 
222 658 537 469 
412 650 3 221 
224 621 225 159 
544 441 188 128 
380 468 295 623 
227 33 308 57 
65 33 703 255 
549 402 380 510 
230 291 587 356 
231 32 337 589 
232 549 205 682 
233 692 270 181 
234 260 490 81 
80 422 266 620 
49 490 0 570 
237 31 256 237 
181 690 18 163 
239 227 306 261 
