19 6 12
1 a 1 0
1 b 1 1
1 c 1 2
1 d 2 3
1 e 3 4
1 f 4 5
2 a 2 0
2 b 2 1
2 c 2 2
2 d 2 6
2 e 5 4
2 f 2 6
3 a 3 0
3 b 3 1
3 c 3 2
3 d 5 3
3 e 6 7
3 f 7 5
4 a 4 0
4 b 4 1
4 c 4 2
4 d 4 6
4 e 7 4
4 f 4 6
5 a 5 0
5 b 5 1
5 c 5 2
5 d 5 6
5 e 5 6
5 f 5 6
6 a 6 0
6 b 6 1
6 c 6 2
6 d 8 3
6 e 9 8
6 f 10 5
7 a 7 0
7 b 7 1
7 c 7 2
7 d 7 6
7 e 7 6
7 f 7 6
8 a 8 0
8 b 8 1
8 c 8 2
8 d 8 6
8 e 11 8
8 f 8 6
9 a 9 0
9 b 9 1
9 c 9 2
9 d 11 3
9 e 12 9
9 f 13 5
10 a 10 0
10 b 10 1
10 c 10 2
10 d 10 6
10 e 13 8
10 f 10 6
11 a 11 0
11 b 11 1
11 c 11 2
11 d 11 6
11 e 14 9
11 f 11 6
12 a 12 0
12 b 12 1
12 c 12 2
12 d 14 3
12 e 15 10
12 f 16 5
13 a 13 0
13 b 13 1
13 c 13 2
13 d 13 6
13 e 16 9
13 f 13 6
14 a 14 0
14 b 14 1
14 c 14 2
14 d 14 6
14 e 17 10
14 f 14 6
15 a 15 0
15 b 15 1
15 c 15 2
15 d 17 3
15 e 1 11
15 f 18 5
16 a 16 0
16 b 16 1
16 c 16 2
16 d 16 6
16 e 18 10
16 f 16 6
17 a 17 0
17 b 17 1
17 c 17 2
17 d 17 6
17 e 2 11
17 f 17 6
18 a 18 0
18 b 18 1
18 c 18 2
18 d 18 6
18 e 4 11
18 f 18 6
